route_id_idx,target_stop_idx,distance_to_target_stop_m,current_speed_mps,time_of_day_min,day_of_week,current_delay_sec,is_raining,headway_to_prev_bus_sec,tta_sec
6,51,4758.5,6.62,1130,4,85.85,0,500.23,1144.89
5,1,990.94,10.25,276,0,-47.85,0,1118.33,121.2
15,14,2334.74,11.16,686,5,-222.72,0,1310.9,246.87
20,1,3452.74,9.95,1390,3,284.23,0,641.27,730.39
5,53,2778.88,12.24,702,1,533.83,1,1706.25,692.88
7,84,2004.52,8.01,337,6,71.52,1,769.11,504.95
10,80,3585.58,9.98,418,0,615.96,0,810.02,894.23
4,98,2997.36,8.83,725,2,-280.13,0,907.28,450.99
9,76,1088.42,11.7,863,6,-234.61,0,1325.3,62.54
12,31,3034.44,10.51,1266,5,-41.04,1,1147.84,547.23
6,61,639.25,13.18,1400,2,-107.93,0,1632.88,10.0
18,43,1296.22,5.65,1397,0,-126.19,0,904.7,243.65
16,58,3086.87,7.79,641,3,137.22,0,1689.92,645.8
3,54,3831.94,7.38,122,0,346.41,1,1242.93,1121.47
5,79,299.8,5.17,659,3,-465.2,0,1374.21,10.0
6,81,4204.78,8.2,472,1,505.18,1,617.79,1104.72
4,31,3202.2,12.26,8,0,185.29,0,700.97,700.28
19,98,1924.19,6.61,98,0,559.73,0,1382.35,736.61
0,13,1694.46,7.56,1415,6,737.6,1,1363.6,841.19
1,20,2562.92,7.65,283,6,-8.92,0,1466.94,426.03
13,5,1913.78,10.27,1060,4,275.38,0,810.68,375.33
9,94,4236.64,12.27,1346,5,317.23,0,1488.92,952.88
15,38,1538.6,11.62,758,1,291.81,1,1201.82,524.17
14,91,2936.44,10.62,726,6,52.85,0,1251.17,518.9
4,96,4156.56,4.1,1003,3,635.8,0,624.38,1731.69
12,29,301.23,13.68,119,6,-219.81,0,697.05,10.0
0,57,4584.55,7.51,801,5,55.16,0,1220.04,1065.35
2,75,2873.58,4.74,996,5,588.07,0,584.5,1042.99
4,22,335.49,3.61,1123,1,268.83,0,623.63,259.99
15,1,229.91,10.01,895,2,-105.81,1,1573.45,23.36
12,11,593.81,8.37,1276,2,177.39,0,1386.87,173.69
6,67,3495.16,6.43,1098,4,62.75,0,554.08,890.82
2,35,1922.89,12.7,95,6,593.12,1,1505.45,661.71
18,48,362.08,5.09,444,0,817.57,1,589.51,549.61
20,99,4736.35,14.31,1167,0,642.96,0,1769.1,1035.06
10,17,4846.39,8.13,1032,1,1072.92,1,433.55,1627.22
7,64,4413.76,8.2,510,6,334.4,1,766.29,1144.26
12,91,2900.22,7.4,475,4,49.79,1,540.13,676.09
12,31,2824.42,14.25,814,4,-85.9,0,1702.94,376.01
0,53,2963.14,8.59,655,6,-290.13,0,1740.49,422.34
3,89,2002.52,8.6,1339,1,235.2,0,911.94,448.47
12,91,1427.69,15.85,908,5,-480.18,0,1099.97,10.0
0,64,2453.81,12.5,1262,0,56.88,0,1071.59,459.93
4,94,3774.56,12.26,770,4,-145.31,0,1508.5,460.5
12,76,1115.42,3.25,448,0,-481.55,1,798.82,269.91
14,100,3139.52,6.36,577,2,761.78,0,617.45,1104.3
1,51,2782.49,8.64,983,6,-652.45,0,575.48,270.72
12,42,1276.71,10.85,110,0,483.54,0,816.08,433.39
2,26,3371.03,13.22,60,1,-384.09,0,638.17,315.97
11,89,4481.66,3.78,1101,1,695.3,0,349.06,2048.18
0,7,3766.47,8.7,1276,3,-66.29,0,1181.43,753.91
13,58,1336.94,6.02,1030,2,220.37,1,568.45,449.96
16,85,1704.74,9.3,811,0,292.3,1,1198.13,532.56
7,39,2215.13,8.63,594,1,277.85,0,1027.32,689.36
0,52,598.73,5.0,623,3,436.67,1,606.36,483.3
10,7,2435.44,14.68,172,3,249.55,0,1453.14,548.51
13,63,527.72,11.36,138,6,79.79,0,662.19,147.13
0,62,3439.36,9.72,784,0,-173.07,0,1094.21,628.68
8,33,988.04,9.87,512,5,225.19,0,779.72,280.16
18,77,2663.02,7.59,131,0,261.09,1,1052.33,698.9
0,65,2763.41,9.32,103,2,4.82,0,999.38,635.16
3,28,843.21,8.71,1120,4,304.61,0,757.48,288.56
5,12,642.1,8.97,227,4,-133.29,0,875.1,77.63
18,35,2759.35,12.4,1306,4,-254.97,1,1108.32,434.58
10,75,600.84,3.11,1007,3,520.73,1,524.66,497.97
13,35,710.85,8.66,824,0,-164.18,1,665.71,136.17
8,34,2051.03,5.04,536,1,517.01,1,571.46,822.92
5,87,1626.22,7.92,284,6,23.52,0,1770.65,311.88
7,48,1568.02,6.64,1164,5,164.15,1,828.83,526.96
16,93,2842.24,13.62,830,3,-797.81,0,1735.34,10.0
17,6,3328.73,7.31,832,0,525.68,0,1406.27,839.44
0,91,1267.1,14.38,95,5,146.81,0,1755.18,198.65
17,6,3202.88,6.81,150,4,-270.16,0,1299.65,654.58
9,1,1878.99,7.18,1142,3,419.43,1,1633.28,765.04
16,73,2872.31,7.5,58,5,683.54,0,1490.02,875.29
