2026-03-03 07:11:59  INFO      ============================================================
2026-03-03 07:11:59  INFO      Red Line Collector | routeID=20 | poll=15s | timeout=10s
2026-03-03 07:11:59  INFO      CSV  : /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_data.csv
2026-03-03 07:11:59  INFO      Log  : /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_collector.log
2026-03-03 07:11:59  INFO      ============================================================
2026-03-03 07:11:59  INFO      Created CSV with headers: /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_data.csv
2026-03-03 07:12:00  INFO      HEARTBEAT | snapshot=2026-03-03 12:11:59 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:12:15  INFO      HEARTBEAT | snapshot=2026-03-03 12:12:15 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:12:31  INFO      HEARTBEAT | snapshot=2026-03-03 12:12:30 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:12:46  INFO      HEARTBEAT | snapshot=2026-03-03 12:12:46 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:13:01  INFO      HEARTBEAT | snapshot=2026-03-03 12:13:01 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:13:16  INFO      HEARTBEAT | snapshot=2026-03-03 12:13:16 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:13:32  INFO      HEARTBEAT | snapshot=2026-03-03 12:13:31 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:13:48  INFO      HEARTBEAT | snapshot=2026-03-03 12:13:47 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:14:10  INFO      HEARTBEAT | snapshot=2026-03-03 12:14:03 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:14:25  INFO      HEARTBEAT | snapshot=2026-03-03 12:14:25 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:14:41  INFO      HEARTBEAT | snapshot=2026-03-03 12:14:40 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:14:56  INFO      HEARTBEAT | snapshot=2026-03-03 12:14:56 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:15:11  INFO      HEARTBEAT | snapshot=2026-03-03 12:15:11 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:15:26  INFO      HEARTBEAT | snapshot=2026-03-03 12:15:26 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:15:42  INFO      HEARTBEAT | snapshot=2026-03-03 12:15:41 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:15:57  INFO      HEARTBEAT | snapshot=2026-03-03 12:15:57 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:16:13  INFO      HEARTBEAT | snapshot=2026-03-03 12:16:12 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:16:28  INFO      HEARTBEAT | snapshot=2026-03-03 12:16:28 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:16:43  INFO      HEARTBEAT | snapshot=2026-03-03 12:16:43 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:16:59  INFO      HEARTBEAT | snapshot=2026-03-03 12:16:58 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:17:14  INFO      HEARTBEAT | snapshot=2026-03-03 12:17:14 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:17:29  INFO      HEARTBEAT | snapshot=2026-03-03 12:17:29 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:17:44  INFO      HEARTBEAT | snapshot=2026-03-03 12:17:44 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:18:00  INFO      HEARTBEAT | snapshot=2026-03-03 12:17:59 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:18:15  INFO      HEARTBEAT | snapshot=2026-03-03 12:18:15 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:18:30  INFO      HEARTBEAT | snapshot=2026-03-03 12:18:30 | vehicles=1 | rows=1 | errors=0
